id,No,No2,登録番号,社名,代表者名1,本店支店,住所,URL,免許証番号,法人個人の別,免許の有効期間,最初の免許年月日,称号・名称,代表者名2,電話番号,加入している協会,資本金,業種1,業種2,業種3,業種4,事務所名称,事務所の区分,設置年月日,所在地,TEL
150015,68,鹿児島県,(12)第001082号,有限会社協和興発,下忠　志,本店,鹿児島県鹿児島市川上町３１４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001082,鹿児島県知事免許　(12)第001082号,法人,H29年07月01日からR04年06月30日まで,S51年06月30日,有限会社協和興発,下忠　志,099-244-2350,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,5/25/1985,"〒892-0875
鹿児島県鹿児島市川上町３１４",099-244-2350
150016,69,鹿児島県,(13)第001090号,有限会社武岡プラザ,川名　一雄,本店,鹿児島県鹿児島市武岡１－３９－４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001090,鹿児島県知事免許　(12)第001090号,法人,H29年07月01日からR04年06月30日まで,S51年06月30日,有限会社武岡プラザ,川名　一雄,099-282-3333,（公社）全国宅地建物取引業保証協会,"8,000千円",不動産管理業,,,,本店,主,7/1/1976,"〒890-0031
鹿児島県鹿児島市武岡１－３９－４",099-282-3333
150017,70,鹿児島県,(12)第001168号,有限会社大平不動産,道　寛博,本店,鹿児島県鹿児島市宇宿３－５４－６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001168,鹿児島県知事免許　(12)第001168号,法人,H29年09月01日からR04年08月31日まで,S51年08月31日,有限会社大平不動産,平　寛博,099-251-5311,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,その他,,,本店,主,9/1/1979,"〒890-0073
鹿児島県鹿児島市宇宿３－５４－６",099-251-5311
150018,71,鹿児島県,(12)第001169号,有限会社山洋商事,小山　洋一,本店,鹿児島県鹿児島市谷山中央３－２２１－２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001169,鹿児島県知事免許　(12)第001169号,法人,H29年09月01日からR04年08月31日まで,S51年08月31日,有限会社山洋商事,小山　洋一,099-268-0012,（公社）全国宅地建物取引業保証協会,"3,000千円",金融･保険業,不動産管理業,,,本店,主,9/1/1976,"〒891-0141
鹿児島県鹿児島市谷山中央３－２２１－２",099-268-0012
150019,72,鹿児島県,(12)第001171号,鹿児島県経済農業協同組合連合会,出原　照彦,本店,鹿児島県鹿児島市鴨池新町１５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001171,鹿児島県知事免許　(12)第001171号,法人,H29年09月01日からR04年08月31日まで,S51年08月31日,鹿児島県経済農業協同組合連合会,出原　照彦,099-258-5375,（公社）全国宅地建物取引業保証協会,"5,446,220千円",建設業,卸売･小売業、飲食店,,,本店,主,9/1/1976,"〒890-0064
鹿児島県鹿児島市鴨池新町１５",099-258-5375
150020,73,鹿児島県,(12)第001172号,赤池重次不動産,赤池　千里子,本店,鹿児島県霧島市隼人町見次９８０―２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001172,鹿児島県知事免許　(12)第001172号,個人,H29年09月01日からR04年08月31日まで,S51年08月31日,赤池重次不動産,赤池　千里子,0995-42-6928,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,9/1/1976,"〒899-5117
鹿児島県霧島市隼人町見次９８０―２",0995-42-6928
150021,74,鹿児島県,(12)第001173号,東福淳一商事,東福　淳一,本店,鹿児島県鹿児島市紫原４－３－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001173,鹿児島県知事免許　(12)第001173号,個人,H29年09月01日からR04年08月31日まで,S51年08月31日,東福淳一商事,東福　淳一,099-252-1029,（公社）全国宅地建物取引業保証協会,0千円,金融･保険業,,,,本店,主,10/31/1989,"〒890-0082
鹿児島県鹿児島市紫原４－３－１",099-252-1029
150022,75,鹿児島県,(12)第001186号,有限会社岩重商事,岩重　守泰,本店,鹿児島県霧島市国分中央５－４―５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001186,鹿児島県知事免許　(12)第001186号,法人,H29年10月01日からR04年09月30日まで,S51年09月30日,有限会社岩重商事,岩重　守泰,0995-45-0408,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,その他,,本店,主,12/1/1987,"〒899-4332
鹿児島県霧島市国分中央５－４―５",0995-45-0408
150023,76,鹿児島県,(12)第001191号,伊地知商会,伊地知　一德,本店,鹿児島県鹿児島市平之町７－２３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001191,鹿児島県知事免許　(12)第001191号,個人,H29年10月01日からR04年09月30日まで,S51年09月30日,伊地知商会,伊地知　一德,099-226-0017,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,4/4/1984,"〒892-0848
鹿児島県鹿児島市平之町７－２３",099-226-0017
150024,77,鹿児島県,(12)第001223号,有限会社柿元商事,柿元　敬一,本店,鹿児島県鹿児島市紫原５－１８－４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001223,鹿児島県知事免許　(12)第001223号,法人,H29年11月01日からR04年10月31日まで,S51年10月31日,有限会社柿元商事,柿元　敬一,099-256-5561,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,11/1/1976,"〒890-0082
鹿児島県鹿児島市紫原５－１８－４",099-256-5561
150025,78,鹿児島県,(12)第001228号,有限会社南州総業,馬場園　省二,本店,鹿児島県鹿児島市下竜尾町１０－１６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001228,鹿児島県知事免許　(12)第001228号,法人,H29年11月01日からR04年10月31日まで,S51年10月31日,有限会社南州総業,馬場園　省二,099-247-4400,（公社）全国宅地建物取引業保証協会,"6,000千円",不動産管理業,,,,本店,主,9/24/1982,"〒892-0852
鹿児島県鹿児島市下竜尾町１０－１６",099-247-4400
150026,79,鹿児島県,(12)第001230号,株式会社しんでん,城ケ原　浩幸,本店,鹿児島県鹿児島市真砂町１－２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001230,鹿児島県知事免許　(12)第001230号,法人,H29年11月01日からR04年10月31日まで,S51年10月31日,株式会社しんでん,城ケ原　浩幸,099-253-6171,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,不動産賃貸業,不動産管理業,,本店,主,6/2/1991,"〒890-0066
鹿児島県鹿児島市真砂町１－２",099-253-6171
150027,80,鹿児島県,(12)第001251号,有限会社辰巳地所,永仮　博文,本店,鹿児島県鹿児島市宇宿８－８－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001251,鹿児島県知事免許　(12)第001251号,法人,H29年12月01日からR04年11月30日まで,S51年11月30日,有限会社辰巳地所,永仮　博文,099-264-7627,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,,,,本店,主,12/1/1976,"〒890-0073
鹿児島県鹿児島市宇宿８－８－１",099-264-7627
150028,81,鹿児島県,(12)第001259号,住友建宅,萩　勲,本店,鹿児島県鹿児島市真砂本町１１－９,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001259,鹿児島県知事免許　(12)第001259号,個人,H29年12月01日からR04年11月30日まで,S51年11月30日,住友建宅,萩　勲,099-252-8125,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,5/6/1980,"〒890-0067
鹿児島県鹿児島市真砂本町１１－９",099-252-8125
150029,82,鹿児島県,(12)第001349号,永田商事,永田　勲,本店,鹿児島県姶良市西餅田３３２６－３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001349,鹿児島県知事免許　(12)第001349号,個人,H30年02月01日からR05年01月31日まで,S52年01月31日,永田商事,永田　勲,0995-65-1188,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,2/1/1977,"〒899-5431
鹿児島県姶良市西餅田３３２６－３",0995-65-1188
150030,83,鹿児島県,(12)第001383号,大福不動産有限会社,大福　裕美子,本店,鹿児島県鹿児島市樋之口町１１－２２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001383,鹿児島県知事免許　(12)第001383号,法人,H30年02月15日からR05年02月14日まで,S52年02月14日,大福不動産有限会社,大福　裕美子,099-225-3321,（公社）全国宅地建物取引業保証協会,"7,000千円",不動産賃貸業,不動産管理業,,,本店,主,12/14/1979,"〒892-0845
鹿児島県鹿児島市樋之口町１１－２２",099-225-3321
150031,84,鹿児島県,(12)第001389号,日栄不動産,小吹　巖,本店,鹿児島県鹿児島市樋之口町５－２０,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001389,鹿児島県知事免許　(12)第001389号,個人,H30年02月15日からR05年02月14日まで,S52年02月14日,日栄不動産,小吹　巖,099-222-8818,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,2/15/1977,"〒892-0845
鹿児島県鹿児島市樋之口町５－２０",099-222-8818
150032,85,鹿児島県,(12)第001392号,有限会社アイワエステート,吉田　直史,本店,鹿児島県鹿児島市坂之上４－４－１３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001392,鹿児島県知事免許　(12)第001392号,法人,H30年03月01日からR05年02月28日まで,S52年02月28日,有限会社アイワエステート,吉田　稔,099-261-7850,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産管理業,,,,本店,主,10/15/1984,"〒891-0150
鹿児島県鹿児島市坂之上４－４－１３",099-261-7850
150033,86,鹿児島県,(12)第001395号,有限会社桜井輝商亊,櫻井　健太郎,本店,鹿児島県鹿児島市吉野町３０５０,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001395,鹿児島県知事免許　(12)第001395号,法人,H30年03月01日からR05年02月28日まで,S52年02月28日,有限会社桜井輝商亊,櫻井　健太郎,099-243-6530,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産賃貸業,,,,本店,主,3/1/1977,"〒892-0871
鹿児島県鹿児島市吉野町３０５０",099-243-6530
150034,87,鹿児島県,(12)第001398号,株式会社山昌,山内　成晃,本店,鹿児島県霧島市国分野口東６－２０,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001398,鹿児島県知事免許　(12)第001398号,法人,H30年03月01日からR05年02月28日まで,S52年02月28日,株式会社山昌,山内　成晃,0995-45-7111,（公社）全国宅地建物取引業保証協会,"20,000千円",建設業,,,,本店,主,2/10/1990,"〒899-4341
鹿児島県霧島市国分野口東６－２０",0995-45-7111
150035,88,鹿児島県,(12)第001415号,鹿児島県くみあい開発株式会社,柚木　弘文,本店,鹿児島県鹿児島市鴨池新町１５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001415,鹿児島県知事免許　(12)第001415号,法人,H30年03月01日からR05年02月28日まで,S52年02月28日,鹿児島県くみあい開発株式会社,柚木　弘文,099-258-5671,（公社）全国宅地建物取引業保証協会,"483,000千円",建設業,卸売･小売業、飲食店,不動産賃貸業,,本店,主,3/26/1984,"〒890-0064
鹿児島県鹿児島市鴨池新町１５",099-258-5671
150036,89,鹿児島県,(12)第001472号,有限会社出口殖産,出口　隆盛,本店,鹿児島県阿久根市赤瀬川３０１３－７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001472,鹿児島県知事免許　(12)第001472号,法人,H30年04月15日からR05年04月14日まで,S52年04月14日,有限会社出口殖産,出口　隆盛,0996-73-0754,（公社）全国宅地建物取引業保証協会,"8,000千円",金融･保険業,不動産賃貸業,,,本店,主,4/15/1977,"〒899-1611
鹿児島県阿久根市赤瀬川３０１３－７",0996-73-0754
150037,90,鹿児島県,(12)第001474号,有限会社櫻井宅建,櫻井　慎一,本店,鹿児島県鹿児島市吉野町８９１３－９,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001474,鹿児島県知事免許　(12)第001474号,法人,H30年04月15日からR05年04月14日まで,S52年04月14日,有限会社櫻井宅建,櫻井　慎一,099-243-7123,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,,,,本店,主,11/27/1986,"〒892-0871
鹿児島県鹿児島市吉野町８９１３－９",099-243-7123
150038,91,鹿児島県,(12)第001489号,新生不動産,影山　健,本店,鹿児島県出水市本町１９－１２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001489,鹿児島県知事免許　(12)第001489号,個人,H30年05月01日からR05年04月30日まで,S52年04月30日,新生不動産,影山　健,0996-62-7727,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,1/16/1980,"〒899-0205
鹿児島県出水市本町１９－１２",0996-62-7727
150039,92,鹿児島県,(12)第001516号,有限会社錦江住宅工業,井上　輝男,本店,鹿児島県鹿児島市西伊敷３－５－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001516,鹿児島県知事免許　(12)第001516号,法人,H30年07月01日からR05年06月30日まで,S52年06月30日,有限会社錦江住宅工業,井上　輝男,099-220-8120,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,,,,本店,主,7/1/1977,"〒890-0002
鹿児島県鹿児島市西伊敷３－５－１",099-220-8120
150040,93,鹿児島県,(12)第001522号,林米穀株式会社,林　正弘,本店,鹿児島県鹿児島市紫原５－３５－２５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001522,鹿児島県知事免許　(12)第001522号,法人,H30年07月01日からR05年06月30日まで,S52年06月30日,林米穀株式会社,林　正弘,099-257-6298,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,卸売･小売業、飲食店,金融･保険業,不動産賃貸業,本店,主,7/1/1977,"〒890-0082
鹿児島県鹿児島市紫原５－３５－２５",099-257-6298
150041,94,鹿児島県,(12)第001529号,三和建設株式会社,前田　晋吾,本店,鹿児島県鹿児島市吉野町３２１６－１５４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001529,鹿児島県知事免許　(12)第001529号,法人,H30年07月15日からR05年07月14日まで,S52年07月14日,三和建設株式会社,前田　晋吾,099-243-2210,（公社）全国宅地建物取引業保証協会,"33,000千円",建設業,不動産賃貸業,,,本店,主,7/15/1977,"〒892-0871
鹿児島県鹿児島市吉野町３２１６－１５４",099-243-2210
150042,95,鹿児島県,(12)第001533号,株式会社上野城,上野　敏孝,本店,鹿児島県鹿児島市田上４－５－１７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001533,鹿児島県知事免許　(12)第001533号,法人,H30年07月15日からR05年07月14日まで,S52年07月14日,株式会社上野城,上野　敏孝,099-213-4761,（公社）全国宅地建物取引業保証協会,"41,480千円",電気･ガス･熱供給･水道業,不動産賃貸業,,,本店,主,4/2/1981,"〒890-0034
鹿児島県鹿児島市田上４－５－１７",099-213-4761
150043,96,鹿児島県,(12)第001547号,株式会社丸井ホーム,井　清隆,本店,鹿児島県鹿児島市下荒田３－１２－６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001547,鹿児島県知事免許　(12)第001547号,法人,H30年08月15日からR05年08月14日まで,S52年08月14日,株式会社丸井ホーム,井　清隆,099-251-0001,（公社）全国宅地建物取引業保証協会,"10,000千円",金融･保険業,不動産賃貸業,不動産管理業,,本店,主,10/22/1988,"〒890-0056
鹿児島県鹿児島市下荒田３－１２－６",099-251-0001
150044,97,鹿児島県,(12)第001549号,株式会社大都興産,中原　富郎,本店,鹿児島県鹿児島市永吉１－９－１６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001549,鹿児島県知事免許　(12)第001549号,法人,H30年08月15日からR05年08月14日まで,S52年08月14日,株式会社大都興産,中原　富郎,099-257-0214,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,8/15/1977,"〒890-0023
鹿児島県鹿児島市永吉１－９－１６",099-257-0214
150045,98,鹿児島県,(12)第001560号,桜島不動産,村山　武久,本店,鹿児島県鹿児島市西田１－１５－１２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001560,鹿児島県知事免許　(12)第001560号,個人,H30年08月15日からR05年08月14日まで,S52年08月14日,桜島不動産,村山　武久,099-251-0101,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,不動産管理業,その他,,本店,主,5/31/1990,"〒890-0046
鹿児島県鹿児島市西田１－１５－１２",099-251-0101
150046,99,鹿児島県,(12)第001572号,昭和産業株式会社,橋口　知章,本店,鹿児島県薩摩川内市西開聞町１５－１１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001572,鹿児島県知事免許　(12)第001572号,法人,H30年09月15日からR05年09月14日まで,S52年09月14日,昭和産業株式会社,橋口　知章,0996-25-3121,（公社）全国宅地建物取引業保証協会,"15,000千円",電気･ガス･熱供給･水道業,不動産賃貸業,,,本店,主,9/15/1977,"〒895-0055
鹿児島県薩摩川内市西開聞町１５－１１",0996-25-3121
150047,100,鹿児島県,(12)第001585号,有限会社松山建設,松山　健二郎,本店,鹿児島県鹿児島市広木２－１０－２０,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001585,鹿児島県知事免許　(12)第001585号,法人,H30年10月15日からR05年10月14日まで,S52年10月14日,有限会社松山建設,松山　健二郎,099-265-3717,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,,,,本店,主,7/27/1987,"〒890-0037
鹿児島県鹿児島市広木２－１０－２０",099-265-3717
150048,101,鹿児島県,(12)第001593号,株式会社共和産業,弓削　和明,本店,鹿児島県鹿児島市上之園町２５－３６　光健ボイスビル,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001593,鹿児島県知事免許　(12)第001593号,法人,H30年11月15日からR05年11月14日まで,S52年11月14日,株式会社共和産業,弓削　和明,099-258-8181,（公社）全国宅地建物取引業保証協会,"13,000千円",電気･ガス･熱供給･水道業,その他,,,本店,主,11/14/1977,"〒890-0052
鹿児島県鹿児島市上之園町２５－３６　光健ボイスビル",099-258-8181
150049,101,鹿児島県,(12)第001593号,株式会社共和産業,弓削　和明,本店,鹿児島県鹿児島市上之園町２５－３６　光健ボイスビル,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001593,鹿児島県知事免許　(12)第001593号,法人,H30年11月15日からR05年11月14日まで,S52年11月14日,株式会社共和産業,弓削　和明,099-258-8181,（公社）全国宅地建物取引業保証協会,"13,000千円",電気･ガス･熱供給･水道業,その他,,,本店,主,11/14/1977,"〒890-0052
鹿児島県鹿児島市上之園町２５－３６　光健ボイスビル",099-258-8181
150050,102,鹿児島県,(12)第001603号,小山田商事,上野　貞美,本店,鹿児島県鹿児島市小山田町３５１４－９,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46001603,鹿児島県知事免許　(12)第001603号,個人,H30年11月15日からR05年11月14日まで,S52年11月14日,小山田商事,上野　貞美,099-238-5520,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,11/15/1986,"〒891-1231
鹿児島県鹿児島市小山田町３５１４－９",099-238-5520
